_sourceID;_targetID;_relType;_nbCommunications
PERS1;TEL4_PERS1;UserAccountAssociation;
PERS1;TEL1_PERS1;UserAccountAssociation;
PERS1;TEL2_PERS1;UserAccountAssociation;
PERS1;TEL3_PERS1;UserAccountAssociation;
PERS2;TEL1_PERS2;UserAccountAssociation;
PERS3;TEL1_PERS3;UserAccountAssociation;
PERS3;TEL2_PERS3;UserAccountAssociation;
PERS4;TEL1_PERS4;UserAccountAssociation;
TEL1_PERS1;100HKVANVWTRLLD@Facebook;UserAccountAssociation;
TEL1_PERS1;100RJSUKQWJVAKL@Facebook;UserAccountAssociation;
TEL1_PERS1;417ETPQJJCQ@s.whatsapp.net@WhatsApp;UserAccountAssociation;
TEL1_PERS1;417ETPQJJCQ;UserAccountAssociation;
TEL1_PERS1;779VMYWVL;UserAccountAssociation;
TEL1_PERS2;CHRIUQVEZJRUG@gmail.com@WhatsApp;UserAccountAssociation;
TEL1_PERS2;234JYLCFESGDE@s.whatsapp.net@WhatsApp;UserAccountAssociation;
TEL1_PERS2;234JYLCFESGDE;UserAccountAssociation;
TEL1_PERS2;660PHJGW;UserAccountAssociation;
TEL1_PERS2;779QKDISJ;UserAccountAssociation;
TEL1_PERS3;779UACPRZ;UserAccountAssociation;
TEL1_PERS3;417LXRBLDSQ@s.whatsapp.net@WhatsApp;UserAccountAssociation;
TEL1_PERS3;417LXRBLDSQ;UserAccountAssociation;
TEL1_PERS3;779YYQUUG;UserAccountAssociation;
TEL1_PERS3;100KGNMAQTSIAPF@Facebook;UserAccountAssociation;
TEL1_PERS3;779LLKQGL;UserAccountAssociation;
TEL1_PERS3;417CYUCUQFV@s.whatsapp.net@WhatsApp;UserAccountAssociation;
TEL1_PERS3;417CYUCUQFV;UserAccountAssociation;
TEL1_PERS3;FRAVCUWSTMNIJP@gmail.com@WhatsApp;UserAccountAssociation;
TEL1_PERS3;100WQNRSHWVBUOH@Facebook;UserAccountAssociation;
TEL1_PERS4;417KGUQEGTJ@s.whatsapp.net@WhatsApp;UserAccountAssociation;
TEL1_PERS4;417KGUQEGTJ;UserAccountAssociation;
TEL1_PERS4;SELBFDIQQWULGHA@gmail.com@Google+;UserAccountAssociation;
TEL1_PERS4;1,1ZTMQKQGWKVUUEVTCE@Google+;UserAccountAssociation;
TEL1_PERS4;779FOODAN;UserAccountAssociation;
TEL2_PERS1;836NQCYNL@Telegram;UserAccountAssociation;
TEL2_PERS1;779ESSTFU;UserAccountAssociation;
TEL2_PERS1;STACHKFUWSOCTPFJRXC@Facebook;UserAccountAssociation;
TEL2_PERS1;100XEIGILMBMSDQ@Facebook;UserAccountAssociation;
