"_nodeID";"_nodeType";"viewIcon";"viewShape"
"BLERVNZYFAOIMOUPOEB@Facebook";"Identifier";"fab-facebook";20
"MIMOWJYVXWWYCB@Facebook";"Identifier";"fab-facebook";20
"IMOBFZFKLNWI@Facebook";"Identifier";"fab-facebook";20
"TRAJFIMOKSYWYSQCXP@Facebook";"Identifier";"fab-facebook";20
"DWIMONHQZYQX@Facebook";"Identifier";"fab-facebook";20
"IMOKAETHRRQJLRBZZOITIHWX@Facebook";"Identifier";"fab-facebook";20
"112ZDMMBUUAMHNAV@imo";"Identifier";"fas-message";20
"417KGUQEGTJ";"Identifier";"fas-sim-card";20
"234WQSQWEYYWI";"Identifier";"fas-sim-card";20
"417IBRGCUKC";"Identifier";"fas-sim-card";20
"234UQUZDBEJUK";"Identifier";"fas-sim-card";20
"UQUZDBEJUK";"Identifier";"fas-sim-card";20
"417CYUCUQFV";"Identifier";"fas-sim-card";20
"100HKVANVWTRLLD@Facebook";"Identifier";"fab-facebook";20
"100RJSUKQWJVAKL@Facebook";"Identifier";"fab-facebook";20
"STACHKFUWSOCTPFJRXC@Facebook";"Identifier";"fab-facebook";20
"100XEIGILMBMSDQ@Facebook";"Identifier";"fab-facebook";20
"706CMENCXT@Facebook";"Identifier";"fab-facebook";20
"100KGNMAQTSIAPF@Facebook";"Identifier";"fab-facebook";20
"100MLFTYEIOOXER@Facebook";"Identifier";"fab-facebook";20
"100WQNRSHWVBUOH@Facebook";"Identifier";"fab-facebook";20
"100NVTZWVRUIVOX@Facebook";"Identifier";"fab-facebook";20
"100QHHSAZZDFHMQ@Facebook";"Identifier";"fab-facebook";20
"100MYENQHAUJZYS@Facebook";"Identifier";"fab-facebook";20
"100TRTFSODEPVQU@Facebook";"Identifier";"fab-facebook";20
"100OTWYJZTNPKNH@Facebook";"Identifier";"fab-facebook";20
"QUEZTDKBIGNHLRUUOJV@Facebook";"Identifier";"fab-facebook";20
"IHOTUVW@Facebook";"Identifier";"fab-facebook";20
"100EMCRHXXVGGRI@Facebook";"Identifier";"fab-facebook";20
"LEVJARIXZAC@Facebook";"Identifier";"fab-facebook";20
"100QLCIANRPCAUF@Facebook";"Identifier";"fab-facebook";20
"100PPUTFBOFFEHP@Facebook";"Identifier";"fab-facebook";20
"FUNRKNWVPEAMUZJJROV@Facebook";"Identifier";"fab-facebook";20
"JOYOSHLWSHNOCR@Facebook";"Identifier";"fab-facebook";20
"PRILVPUGJQMEUSKGLVWEJOI@Facebook";"Identifier";"fab-facebook";20
